ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
5527,t78815,2,FALSE,FALSE,pant,00-Jan-00,3,scan,,15,FALSE,,brt
5528,t78815,2,FALSE,FALSE,atac,00-Jan-00,3,scan,,15,FALSE,,brt
5529,t78815,2,FALSE,FALSE,hel,00-Jan-00,3,scan,,15,FALSE,,brt
5530,t78815,2,FALSE,FALSE,amaz,00-Jan-00,3,scan,,15,FALSE,,brt
5531,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,3,scan,,15,FALSE,,brt
5532,t78815,2,FALSE,FALSE,odd,00-Jan-00,3,whoop (5x),,,FALSE,,scan c=lions
5533,t78815,2,FALSE,FALSE,wrwk,00-Jan-00,3,scan,,150,FALSE,,
5534,t78815,2,FALSE,FALSE,gaza,00-Jan-00,3,scan,,150,FALSE,,
5535,t78815,2,FALSE,FALSE,mork,00-Jan-00,3,scan,,150,FALSE,,
5536,t78815,2,FALSE,FALSE,hrlm,00-Jan-00,3,scan,,150,FALSE,,
5537,t78815,2,FALSE,FALSE,unid,00-Jan-00,3,scan,,150,FALSE,,
5538,t78815,2,FALSE,FALSE,odd,00-Jan-00,4,whoop,,,FALSE,,
5539,t78815,2,FALSE,FALSE,pant,00-Jan-00,6,dist,,15,FALSE,,
5540,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,7,whoop,,14-16,FALSE,,
5541,t78815,2,FALSE,FALSE,brgr,00-Jan-00,1,brt whoop (10x),,20,FALSE,,c=lions
5542,t78815,2,FALSE,FALSE,brgr,00-Jan-00,2,bo whoop (4x),lions,,FALSE,,c=lions
5543,t78815,2,FALSE,FALSE,unid,00-Jan-00,3,gig,,,FALSE,,
5544,t78815,2,FALSE,FALSE,unid,00-Jan-00,4,squeals,,,FALSE,,
5545,t78815,2,FALSE,FALSE,brgr,00-Jan-00,5,mob,lions,20,FALSE,,brt app in group
5546,t78815,2,FALSE,FALSE,mgta,00-Jan-00,5,mob,lions,20,FALSE,,brt app in group
5547,t78815,2,FALSE,FALSE,pant,00-Jan-00,5,mob,lions,20,FALSE,,brt app in group
5548,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,5,mob,lions,20,FALSE,,brt app in group
5549,t78815,2,FALSE,FALSE,brgr,00-Jan-00,6,mob,lions,20,FALSE,,
5550,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,6,mob,lions,20,FALSE,,
5551,t78815,2,FALSE,FALSE,unid,00-Jan-00,7,squeals,,,FALSE,,
5552,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,8,whoops,,,FALSE,,c=lions
5553,t78815,2,FALSE,FALSE,brgr,00-Jan-00,1,paste (2x),,,TRUE,,p=unk
5554,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,2,brt squeals,lions,20,FALSE,,
5555,t78815,2,FALSE,FALSE,unid,00-Jan-00,1,groans,,,FALSE,,
