"clan","session","location","date","start","stop","no_intx_yes_no"
"talek","t22209","o",2000-02-24,2018-01-01 18:40:00,2018-01-01 19:17:00,FALSE
"talek","t22278","k",2000-03-12,2018-01-01 06:43:00,2018-01-01 07:01:00,FALSE
"talek","t22367","k",2000-03-19,2018-01-01 07:03:00,2018-01-01 08:50:00,FALSE
"talek","t22529","k",2000-04-06,2018-01-01 19:05:00,2018-01-01 19:26:00,FALSE
"talek","t22543","k",2000-04-08,2018-01-01 06:49:00,2018-01-01 07:43:00,FALSE
"talek","t22551","o",2000-04-08,2018-01-01 18:27:00,2018-01-01 18:53:00,FALSE
"talek","t22876","c",2000-04-27,2018-01-01 06:35:00,2018-01-01 06:46:00,TRUE
"talek","t23112","o",2000-05-17,2018-01-01 06:44:00,2018-01-01 06:51:00,TRUE
"talek","t23142","o",2000-05-19,2018-01-01 18:16:00,2018-01-01 18:21:00,TRUE
"talek","t23212","k",2000-05-24,2018-01-01 06:59:00,2018-01-01 07:46:00,TRUE
"talek","t23314","o",2000-06-03,2018-01-01 06:53:00,2018-01-01 06:58:00,TRUE
"talek","t23357","k",2000-06-06,2018-01-01 07:04:00,2018-01-01 07:23:00,TRUE
"talek","t23381","k",2000-06-08,2018-01-01 06:22:00,2018-01-01 06:53:00,FALSE
"talek","t236","k",1988-12-03,2018-01-01 06:24:00,2018-01-01 07:00:00,TRUE
"talek","t23688","k",2000-07-07,2018-01-01 06:08:00,2018-01-01 08:04:00,FALSE
"talek","t24594","k",2000-09-18,2018-01-01 06:48:00,2018-01-01 06:53:00,FALSE
"talek","t25402","o",2000-12-06,2018-01-01 07:43:00,2018-01-01 07:49:00,FALSE
"talek","t25814","d",2001-01-10,2018-01-01 06:26:00,2018-01-01 06:37:00,TRUE
"talek","t25815","o",2001-01-10,2018-01-01 06:40:00,2018-01-01 06:53:00,TRUE
"talek","t26390","d",2001-03-12,2018-01-01 06:08:00,2018-01-01 06:32:00,TRUE
"talek","t26440","o",2001-03-15,2018-01-01 06:44:00,2018-01-01 06:51:00,TRUE
"talek","t26717","o",2001-04-04,2018-01-01 19:46:00,2018-01-01 19:51:00,TRUE
"talek","t269","o",1988-12-20,2018-01-01 06:32:00,2018-01-01 07:19:00,FALSE
"talek","t27017","k",2001-05-02,2018-01-01 18:10:00,2018-01-01 19:16:00,TRUE
"talek","t27189","o",2001-05-12,2018-01-01 06:44:00,2018-01-01 07:22:00,FALSE
"talek","t27233","k",2001-05-15,2018-01-01 07:17:00,2018-01-01 07:55:00,FALSE
"talek","t27237","d",2001-05-15,2018-01-01 18:42:00,2018-01-01 19:32:00,TRUE
"talek","t27256","o",2001-05-17,2018-01-01 07:26:00,2018-01-01 07:33:00,TRUE
"talek","t27353","k",2001-05-23,2018-01-01 07:34:00,2018-01-01 07:39:00,TRUE
